Date,Day,Branch,Open,Close,Reason,ReturnChutesOpen
2025-12-09,Tuesday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-09,Tuesday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-09,Tuesday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-09,Tuesday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-09,Tuesday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-09,Tuesday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-09,Tuesday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-10,Wednesday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-10,Wednesday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-10,Wednesday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-10,Wednesday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-10,Wednesday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-10,Wednesday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-10,Wednesday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-10,Wednesday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-10,Wednesday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-11,Thursday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-11,Thursday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-11,Thursday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-11,Thursday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-11,Thursday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-11,Thursday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-11,Thursday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-11,Thursday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-11,Thursday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-12,Friday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-12,Friday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-12,Friday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-12,Friday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-12,Friday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-12,Friday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-12,Friday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-12,Friday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-12,Friday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-13,Saturday,Belconnen,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-13,Saturday,Civic,,,Summer Hours 2025-6,TRUE
2025-12-13,Saturday,Dickson,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-13,Saturday,Erindale,,,Summer Hours 2025-6,TRUE
2025-12-13,Saturday,Gungahlin,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-13,Saturday,Kingston,10:00,16:00,Summer Hours 2025-6,TRUE
